unique_id,type,primary_name,aliases,alias_count,date_designated_inclusion,last_updated,regime
CHW0044,Entity,SC Signal,NC Signal; NTS Signal; Signal Research Center; Signal Research Centre; Signal Scientific Center,5,06/07/2026,06/07/2026,The Chemical Weapons (Sanctions) (EU Exit) Regulations 2019
CHW0043,Individual,Aleksandr Aleksandrovich Makhlay,Alexander Makhlai; Alexander MakNai,2,06/07/2026,06/07/2026,The Chemical Weapons (Sanctions) (EU Exit) Regulations 2019
CHW0042,Individual,Ivan Sergeyevich Kravtsov,,0,06/07/2026,06/07/2026,The Chemical Weapons (Sanctions) (EU Exit) Regulations 2019
CHW0041,Individual,Viktor Fedorovic Taranchenko,V. F. Taranchenko; Victor Fedorovich Taranchenko,2,06/07/2026,06/07/2026,The Chemical Weapons (Sanctions) (EU Exit) Regulations 2019
CHW0040,Individual,Andrei Mikhailovich Antokhin,A. M. Antokhin; Andrey Mikhailovich Antokhin,2,06/07/2026,06/07/2026,The Chemical Weapons (Sanctions) (EU Exit) Regulations 2019
CHW0039,Individual,Sergei Viktorovich Chepur,S. V. Chepur; Sergey Chepur,2,06/07/2026,06/07/2026,The Chemical Weapons (Sanctions) (EU Exit) Regulations 2019
CHW0038,Individual,Vladimir Borisovich Kondratyev,Vladimir Borisovich Kondratiev,1,06/07/2026,06/07/2026,The Chemical Weapons (Sanctions) (EU Exit) Regulations 2019
CHW0037,Individual,Artur Aleksandrovich Zhirov,A. A. Zhirov; Artur Aleksandrovic Zhirov; Artur Alexandrovich Zhirov,3,06/07/2026,06/07/2026,The Chemical Weapons (Sanctions) (EU Exit) Regulations 2019
CHW0036,Entity,The State Research Institute of Military Medicine (GNIII VM),Military Medicine Research Institute; St. Petersburg Military Medicine Institute; St. Petersburg State Research Institute of Military Medicine; State Scientific Research and Testing Institute for Military Medicine; State Scientific Research Testing Institute of Military Medicine; The State Research Institute of Military Medicine,6,06/07/2026,06/07/2026,The Chemical Weapons (Sanctions) (EU Exit) Regulations 2019
RUS3689,Entity,JSC ROSGOSSTRAKH,JSC RUSSIAN STATE INSURANCE COMPANY,1,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3688,Entity,JSC BALANCE INSURANCE,,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3687,Ship,"IMO 9379301 (""VERSA"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3686,Ship,"IMO 9274082 (""TM HAI HA 568"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3685,Ship,"IMO 9282041 (""KAVIZ"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3684,Ship,"IMO 9413004 (""HORAE"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3683,Ship,"IMO 9408554 (""HE BO"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3682,Ship,"IMO 9198082 (""GLOBAL STAR"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3681,Ship,"IMO 9297541 (""DOVE"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3680,Ship,"IMO 9439383 (""BHILVA"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3679,Ship,"IMO 9337418 (""ATMOS"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3678,Ship,"IMO 9328170 (""AETHER"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3677,Ship,"IMO 9317315 (""LUCH"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3676,Ship,"IMO 9300817 (""KOSMOS"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3675,Ship,"IMO 9326689 (""MERKURIY"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3674,Ship,"IMO 9294264 (""ORION"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3673,Ship,"IMO 9408542 (""LING HONG"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3672,Ship,"IMO 9249128 (""SAKHALIN"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3671,Ship,"IMO 9380570 (""KURDOS III"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3670,Ship,"IMO 9270555 (""INTEGRITY RACER"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3669,Ship,"IMO 9290385 (""ELBUS"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3668,Ship,"IMO 9298492 (""TOA PAYOH"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3667,Ship,"IMO 9417464 (""TANI"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3666,Ship,"IMO 9290397 (""STORMBRINGER"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3665,Ship,"IMO 9291262 (""SILVAR"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3664,Ship,"IMO 9333785 (""SEADAR"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3663,Ship,"IMO 9390587 (""ONEIROI"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3662,Ship,"IMO 9305556 (""MARVEN"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3661,Ship,"IMO 9296377 (""MARJORIE"")",,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3660,Entity,PILOT FINANCE LIMITED,Continental Global Incentives Ltd,1,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3659,Entity,"""A7-AGENT"" LIMITED LIABILITY COMPANY",A7 AGENT; A7 AGENT LLC; LIMITED LIABILITY COMPANY A7 AGENT,3,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3658,Individual,Maksim Yuryevich MAMONTOV,,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3657,Individual,Konstantin Aleksandrovich STRAFILOV,,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3656,Individual,Stanislav Sergeyevich POPOV,Stanislav Sergeevich POPOV,1,16/06/2026,07/07/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3655,Individual,Dmitriy Yegorovich ZUBKOV,,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3654,Individual,Roman Viktorovich GAIVORONSKIY,,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3653,Individual,Aleksandr Vasilyevich MATROSOV,Aleksander Vasilyevich MATROSOV,1,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3652,Individual,Sergey Nikolayevich MAZURIK,Sergey Nikolaevich MAZURIK,1,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
RUS3651,Individual,Nikolay Nikolayevich SAZHIN,,0,16/06/2026,16/06/2026,The Russia (Sanctions) (EU Exit) Regulations 2019
