primary_name,class_heuristic,name_shape,present_in_consolidated_csv,verification,match_request_url
A. ROSENTHAL (PTY) LTD.,entity,punctuated,Y,index-probe: absent,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=A.+ROSENTHAL+%28PTY%29+LTD.
ABAN AIR,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=ABAN+AIR
AC AVIATIE UK LIMITED,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=AC+AVIATIE+UK+LIMITED
"ADAERO INTERNATIONAL TRADE, LLC",entity,punctuated,Y,index-probe: absent,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=ADAERO+INTERNATIONAL+TRADE%2C+LLC
AEROCARGO DEL SUR TRANSPORTATION COMPANY,entity,suffix-bearing,Y,index-probe: absent,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=AEROCARGO+DEL+SUR+TRANSPORTATION+COMPANY
AKN PRASAD,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=AKN+PRASAD
ALI KHANAMAN MOHAMMADI,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=ALI+KHANAMAN+MOHAMMADI
ALINDA CHEMICAL TRADE COMPANY LTD,entity,suffix-bearing,Y,index-probe: absent,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=ALINDA+CHEMICAL+TRADE+COMPANY+LTD
"ALPHATRONX, INC.",entity,punctuated,Y,index-probe: absent,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=ALPHATRONX%2C+INC.
AMANCIO J. ABELAIRAS,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=AMANCIO+J.+ABELAIRAS
APELSIN LOGISTICS INC.,entity,suffix-bearing,Y,index-probe: absent,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=APELSIN+LOGISTICS+INC.
APPELBERG FINANCIAL SERVICES,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=APPELBERG+FINANCIAL+SERVICES
ASSEGAI TRADING (PTY) LTD,entity,punctuated,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=ASSEGAI+TRADING+%28PTY%29+LTD
AVIONET,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=AVIONET
BAO AN CORPORATION,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=BAO+AN+CORPORATION
BILL CHEN,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=BILL+CHEN
"BLACK, SIVALLS & BRYSON (UK) LTD",entity,punctuated,Y,A3 active-status: confirmed 0/5,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=BLACK%2C+SIVALLS+%26+BRYSON+%28UK%29+LTD
CAE SERVICES,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=CAE+SERVICES
CELLTRON MKTG CO.,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=CELLTRON+MKTG+CO.
CIRRUS ELECTRONICS LLC,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=CIRRUS+ELECTRONICS+LLC
CIRRUS ELECTRONICS PTE LTD,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=CIRRUS+ELECTRONICS+PTE+LTD
COSMOTRANS AG,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=COSMOTRANS+AG
"COSMOTRANS USA, INC.",entity,punctuated,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=COSMOTRANS+USA%2C+INC.
D.J. ASSOCIATES,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=D.J.+ASSOCIATES
"DATALEC, LTD.",entity,punctuated,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=DATALEC%2C+LTD.
DAVID BROWNHILL,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=DAVID+BROWNHILL
DERBY CLERFE,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=DERBY+CLERFE
"DIEN'S AUTO SALVAGE, INC.",entity,punctuated,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=DIEN%27S+AUTO+SALVAGE%2C+INC.
DONGHUA XUE,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=DONGHUA+XUE
"DOORNBOS, GMBH",entity,punctuated,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=DOORNBOS%2C+GMBH
EDUARD MENDELEVICH YAMNIK,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=EDUARD+MENDELEVICH+YAMNIK
"EHI GROUP USA, INC",entity,punctuated,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=EHI+GROUP+USA%2C+INC
EMTRASUR,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=EMTRASUR
ENTERYSYS CORPORATION,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=ENTERYSYS+CORPORATION
EXHIGH AIR SPACE LTD.,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=EXHIGH+AIR+SPACE+LTD.
FC MARAKANDA 7777 LLC,entity,punctuated,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=FC+MARAKANDA+7777+LLC
FLIDER ELECTRONICS,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=FLIDER+ELECTRONICS
G. TEDALDI,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=G.+TEDALDI
GORAN B JOSBERG,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=GORAN+B+JOSBERG
GRANDIA PROJECT SERVICES,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=GRANDIA+PROJECT+SERVICES
HELLING KG,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=HELLING+KG
"HUMANE RESTRAINT, INC.",entity,punctuated,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=HUMANE+RESTRAINT%2C+INC.
IBERAIR LINES,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=IBERAIR+LINES
INDUSTRIA HONG KONG LTD,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=INDUSTRIA+HONG+KONG+LTD
IT WAVE FZCO,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=IT+WAVE+FZCO
ITEX-WAVE FZCO,entity,suffix-bearing,Y,A3 active-status: confirmed 0/5,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=ITEX-WAVE+FZCO
ITURRIDANIEL,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=ITURRIDANIEL
JAMES MICHAEL CLARK,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=JAMES+MICHAEL+CLARK
JFD INTERNATIONAL,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=JFD+INTERNATIONAL
JIRAIR HIJIABADI AVANESSIAN,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=JIRAIR+HIJIABADI+AVANESSIAN
JOSEPH TALYI,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=JOSEPH+TALYI
JUZHOI ELECTRONIC LLC,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=JUZHOI+ELECTRONIC+LLC
KIRILL GORDEI,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=KIRILL+GORDEI
KOLOKOL (AKA: ALDRICH AMES),person,punctuated,Y,A3 active-status: confirmed 0/5,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=KOLOKOL+%28AKA%3A+ALDRICH+AMES%29
LEEJAMES,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=LEEJAMES
LEV STEINBERG,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=LEV+STEINBERG
LUFENG LIMITED,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=LUFENG+LIMITED
"M.E.S. EQUIPMENT, INC",entity,punctuated,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=M.E.S.+EQUIPMENT%2C+INC
MAJID RAHMANIFAR,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=MAJID+RAHMANIFAR
MAPLE PACIFIC CORPORATION,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=MAPLE+PACIFIC+CORPORATION
MCNEIL INTERNATIONAL,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=MCNEIL+INTERNATIONAL
MITCH VAGHARI,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=MITCH+VAGHARI
MOHAMMAD AL-MASHAN GROUP,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=MOHAMMAD+AL-MASHAN+GROUP
NANCY ANN HARVEY,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=NANCY+ANN+HARVEY
NEAZ TRADING CORPORATION,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=NEAZ+TRADING+CORPORATION
OERLIKON SCHWEISSTECHNIK AG,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=OERLIKON+SCHWEISSTECHNIK+AG
ORIENTAL TRADING CORPORATION,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=ORIENTAL+TRADING+CORPORATION
PAAVO OLAVI MANNER,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=PAAVO+OLAVI+MANNER
PAKLAND PME CORPORATION,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=PAKLAND+PME+CORPORATION
PETER GROMACKI,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=PETER+GROMACKI
PPC COMPUTER HANDLES GMBH,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=PPC+COMPUTER+HANDLES+GMBH
PROFESSOR MOJTABA ATARODI,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=PROFESSOR+MOJTABA+ATARODI
RADIOTESTER LLC,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=RADIOTESTER+LLC
RAGUNATHAN THIRUNAVUKKARASU,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=RAGUNATHAN+THIRUNAVUKKARASU
REAL COMPONENTS LTD.,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=REAL+COMPONENTS+LTD.
RICHARD KWIK,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=RICHARD+KWIK
ROBERT J. WHEELER,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=ROBERT+J.+WHEELER
RUO LING WANG,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=RUO+LING+WANG
"S.P.L. SPARE PARTS LOGISTICS, INC.",entity,punctuated,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=S.P.L.+SPARE+PARTS+LOGISTICS%2C+INC.
SAIED SHAHSAVARANI (PRESIDENT OF TAK COMPONENTS),person,punctuated,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=SAIED+SHAHSAVARANI+%28PRESIDENT+OF+TAK+COMPONENTS%29
SCIENTIFIC INT'L INC.,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=SCIENTIFIC+INT%27L+INC.
SEAN HAAS,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=SEAN+HAAS
"SEMICONDUCTOR SYSTEMS INTL., INC. (SSI)",entity,punctuated,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=SEMICONDUCTOR+SYSTEMS+INTL.%2C+INC.+%28SSI%29
"SH BROTHERS GROUP, INC.",entity,punctuated,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=SH+BROTHERS+GROUP%2C+INC.
SOCIETE ANONYME TECHNOLOGIE SPATIALE (SATS),entity,punctuated,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=SOCIETE+ANONYME+TECHNOLOGIE+SPATIALE+%28SATS%29
SSI,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=SSI
"STRANDWAY, LLC",entity,punctuated,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=STRANDWAY%2C+LLC
"SUPER NET COMPUTERS, L.L.C.",person,punctuated,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=SUPER+NET+COMPUTERS%2C+L.L.C.
"TATOS, FRED",person,punctuated,Y,A3 active-status: confirmed 0/5,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=TATOS%2C+FRED
TECHNOLOGY BUSINESS SERVICES,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=TECHNOLOGY+BUSINESS+SERVICES
"TOP OIL TOOLS, LTD",entity,punctuated,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=TOP+OIL+TOOLS%2C+LTD
TPC B.V.,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=TPC+B.V.
TYSONIC ENTERPRISES,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=TYSONIC+ENTERPRISES
UNI-ARAB ENGINEERING AND OIL FIELD SERVICES,entity,suffix-bearing,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=UNI-ARAB+ENGINEERING+AND+OIL+FIELD+SERVICES
"US PROTOTYPE, INC.",entity,punctuated,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=US+PROTOTYPE%2C+INC.
VIK A SINGH,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=VIK+A+SINGH
WALTON W. MCCARTHY,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=WALTON+W.+MCCARTHY
WILLIAM F. MCNEIL,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=WILLIAM+F.+MCNEIL
XTREME OUTDOORS,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=XTREME+OUTDOORS
YUEQIANG CHEN,person,suffix-less,Y,,https://fast.customsclear.net/api/sanctions_person_versions_regulations/match?query=YUEQIANG+CHEN
