unique_id,role,type,primary_name,regime,date_designated,class,definite_runs,possible_runs,neighbour_runs,empty_runs,error_runs,n_runs,uk_match,issuers_matched,matched_code,matched_title,identity_kind,issuer,valid_from,valid_to,valid_from_matches_designation,envelope_filename,envelope_valid_from
CHW0036,addition,Entity,The State Research Institute of Military Medicine (GNIII VM),The Chemical Weapons (Sanctions) (EU Exit) Regulations 2019,06/07/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1179400,The State Research Institute of Military Medicine (GNIII VM),exact,UK,2026-07-06,2099-12-31,yes,reg-uk-the-chemical-weapons-sanctions-eu-exit-regulations-2019.json,2026-07-06
CHW0037,addition,Individual,Artur Aleksandrovich Zhirov,The Chemical Weapons (Sanctions) (EU Exit) Regulations 2019,06/07/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,EU|UK,1179401,Artur Aleksandrovich Zhirov,exact,UK,2026-07-06,2099-12-31,yes,reg-uk-the-chemical-weapons-sanctions-eu-exit-regulations-2019.json,2026-07-06
CHW0038,addition,Individual,Vladimir Borisovich Kondratyev,The Chemical Weapons (Sanctions) (EU Exit) Regulations 2019,06/07/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1179402,Vladimir Borisovich Kondratyev,exact,UK,2026-07-06,2099-12-31,yes,reg-uk-the-chemical-weapons-sanctions-eu-exit-regulations-2019.json,2026-07-06
CHW0039,addition,Individual,Sergei Viktorovich Chepur,The Chemical Weapons (Sanctions) (EU Exit) Regulations 2019,06/07/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1179403,Sergei Viktorovich Chepur,exact,UK,2026-07-06,2099-12-31,yes,reg-uk-the-chemical-weapons-sanctions-eu-exit-regulations-2019.json,2026-07-06
CHW0040,addition,Individual,Andrei Mikhailovich Antokhin,The Chemical Weapons (Sanctions) (EU Exit) Regulations 2019,06/07/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1179404,Andrei Mikhailovich Antokhin,exact,UK,2026-07-06,2099-12-31,yes,reg-uk-the-chemical-weapons-sanctions-eu-exit-regulations-2019.json,2026-07-06
CHW0041,addition,Individual,Viktor Fedorovic Taranchenko,The Chemical Weapons (Sanctions) (EU Exit) Regulations 2019,06/07/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1179405,Viktor Fedorovic Taranchenko,exact,UK,2026-07-06,2099-12-31,yes,reg-uk-the-chemical-weapons-sanctions-eu-exit-regulations-2019.json,2026-07-06
CHW0042,addition,Individual,Ivan Sergeyevich Kravtsov,The Chemical Weapons (Sanctions) (EU Exit) Regulations 2019,06/07/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1179406,Ivan Sergeyevich Kravtsov,exact,UK,2026-07-06,2099-12-31,yes,reg-uk-the-chemical-weapons-sanctions-eu-exit-regulations-2019.json,2026-07-06
CHW0043,addition,Individual,Aleksandr Aleksandrovich Makhlay,The Chemical Weapons (Sanctions) (EU Exit) Regulations 2019,06/07/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1179407,Aleksandr Aleksandrovich Makhlay,exact,UK,2026-07-06,2099-12-31,yes,reg-uk-the-chemical-weapons-sanctions-eu-exit-regulations-2019.json,2026-07-06
CHW0044,addition,Entity,SC Signal,The Chemical Weapons (Sanctions) (EU Exit) Regulations 2019,06/07/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1179408,SC Signal,exact,UK,2026-07-06,2099-12-31,yes,reg-uk-the-chemical-weapons-sanctions-eu-exit-regulations-2019.json,2026-07-06
GHR0191,addition,Individual,Itamar Yehuda Levy,The Global Human Rights Sanctions Regulations 2020,09/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1180144,Itamar Yehuda Levy,exact,UK,2026-06-09,2099-12-31,yes,reg-uk-the-global-human-rights-sanctions-regulations-2020.json,2026-07-06
